year,gdp_nominal_in_crores,total_expenditure,total_receipts,fiscal_deficit_in_crores,fiscal_deficit_as_gdp_pct
2025,33222675,4650000,2850000,1800000,5.8
2024,30175000,4503097,2716281,1786816,5.9
2023,27307751,4187232,2430291,1755941,6.4
2022,23664637,3944909,2204422,1733487,7.3
2021,19745670,3483236,1689990,1793246,9.1
2020,20351013,3042230,1634567,1407663,6.9
2019,18886979,2786349,1684340,1102009,5.8
2018,17095005,2457235,1552912,904323,5.3
2017,15391669,2146735,1427890,718845,4.7
2016,13764037,1978060,1265498,712562,5.2
